VmName,FolderName
ACC-ADMIN_DR,DR Site/vSphere-Replica
ACC-ADMIN-DR,DR Site/vSphere-Replica
ACC-APP-DEV_DR,DR Site/vSphere-Replica
ACC-APP-TEST_DR,DR Site/vSphere-Replica
ACC-EI-SVR_DR,DR Site/vSphere-Replica
ACC-LB_DR,DR Site/vSphere-Replica
ACC-SQL_DR,DR Site/vSphere-Replica
ACC-SVR_DR,DR Site/vSphere-Replica
ACC-VMDEV_DR,DR Site/vSphere-Replica
ACC-VMSVR_DR,DR Site/vSphere-Replica
ACC-VMWeb_DR,DR Site/vSphere-Replica
ADS-DR1,DR Site/vSphere-Replica
ADS-DR2,DR Site/vSphere-Replica
AppServer_DR,DR Site/vSphere-Replica
BillBlast_DR,DR Site/vSphere-Replica
BillBlast_DR (1),DR Site/vSphere-Replica
Dataserver2_DR,DR Site/vSphere-Replica
Dictation_DR,DR Site/vSphere-Replica
Dictation_DR (1),DR Site/vSphere-Replica
DM-OTAG-DR,DR Site/vSphere-Replica
DM-OTDS-DR,DR Site/vSphere-Replica
DMSERVER-DR,DR Site/vSphere-Replica
DMSQL-DR,DR Site/vSphere-Replica
DM-WEB-DR,DR Site/vSphere-Replica
Docsvr-DR,DR Site/vSphere-Replica
DR-Veeam-Proxy,DR Site/DR-Infra
EXCHNY_DR,DR Site/vSphere-Replica
EXCHNY_replica,DR Site/Old-Veeam-Replica
EXCHNY2_DR,DR Site/vSphere-Replica
FT-SS_DR,DR Site/vSphere-Replica
FT-WEB_DR,DR Site/vSphere-Replica
HRMS_DR,DR Site/vSphere-Replica
Intapp-Activity_DR,DR Site/vSphere-Replica
Intapp-Extension_DR,DR Site/vSphere-Replica
Intapp-Integration_DR,DR Site/vSphere-Replica
Intapp-SQL_DR,DR Site/vSphere-Replica
Intapp-Srch-Prod_DR,DR Site/vSphere-Replica
Intapp-Web_DR,DR Site/vSphere-Replica
IO-INT_replica,DR Site/BusIntake-Replica
IO-INT-DEV_replica,DR Site/BusIntake-Replica
IO-SEARCH_replica,DR Site/BusIntake-Replica
IO-SEARCH-DEV_replica,DR Site/BusIntake-Replica
IO-SQL_replica,DR Site/BusIntake-Replica
IO-WEB_replica,DR Site/BusIntake-Replica
IO-WEB-DEV_replica,DR Site/BusIntake-Replica
IPRO-AUTH_DR,DR Site/vSphere-Replica
IPRO-COMP_DR,DR Site/vSphere-Replica
IPRO-SQL_DR,DR Site/vSphere-Replica
IPRO-WEB_DR,DR Site/vSphere-Replica
IPRO-WORK_DR,DR Site/vSphere-Replica
IW-EXT_DR,DR Site/vSphere-Replica
IW-EXT2_DR,DR Site/vSphere-Replica
IW-SQL_DR,DR Site/vSphere-Replica
IW-WEB_DR,DR Site/vSphere-Replica
Mimecast,DR Site/DR-Infra
NF-SVR_DR,DR Site/vSphere-Replica
rrk-pfsense-dr,DR Site/DR-Infra
rrk-pfsense-dr-clone,DR Site/DR-Infra
SQLSVR,DR Site/DR-Infra
SQLSVR_DR,DR Site/vSphere-Replica
Srv2019x64_test,DR Site/Templates
Srv2019x64_test2,DR Site/Templates
Symantec-EEM_replica,DR Site/Old-Veeam-Replica
TimeMatters_DR,DR Site/vSphere-Replica
WindowsServer2016,DR Site/Templates
