VmName,FolderName
ACC-ADMIN,NY Site/Acct-Rep2DR
ACC-APP1,NY Site/Acct-Rep2DR
ACC-APP2,NY Site/Acct-Rep2DR
ACC-APP3,NY Site/Acct-Rep2DR
ACC-APP-DEV,NY Site/Acct-Rep2DR
ACC-APP-TEST,NY Site/Acct-NoRep2DR
ACC-EI-SVR,NY Site/Acct-Rep2DR
ACC-LB,NY Site/Other-NoRep2DR
ACC-SQL,NY Site/Acct-Rep2DR
ACC-SVR,NY Site/Acct-Rep2DR
ACC-VMAdmin,NY Site/Acct-NoRep2DR
ACC-VMDEV,NY Site/Acct-NoRep2DR
ACC-VMSQL,NY Site/Acct-NoRep2DR
ACC-VMSVR,NY Site/Acct-NoRep2DR
ACC-VMTEST,NY Site/Acct-NoRep2DR
ACC-VMWeb,NY Site/Acct-NoRep2DR
ADS1,NY Site/AD-Uniondale-NoRep2DR
ADS2,NY Site/AD-Uniondale-NoRep2DR
ADS-Connector,NY Site/AD-Uniondale-NoRep2DR
ADSVR,NY Site/AD-Uniondale-NoRep2DR
ADSVR2,NY Site/AD-Uniondale-NoRep2DR
ALB-CUNNINGHAM,NY Site/Other-NoRep2DR
ALB-HAHN,NY Site/Misc-NoRep2DR
AppServer,NY Site/General-Rep2DR
APPSVR,NY Site/Other-NoRep2DR
AWS-Storage-Gateway-2018-11-09-1541780688,NY Site/Prod-Infra
BillBlast,NY Site/General-Rep2DR
ccfs-xs-onprem-poller,NY Site/Prod-Infra
CIMC-SVR,NY Site/Prod-Infra
Copitraksvr,NY Site/General-NoRep2DR
CTX-CC1,NY Site/Decommission
CTX-CC2,NY Site/Decommission
CUC-PRI,NY Site/Other-NoRep2DR
Dataserver,NY Site/FileServer1-Rep2DR
Dataserver2,NY Site/FileServer2-Rep2DR
Dataserver3,NY Site/FileServer3-Rep2DR
Datasvr1,NY Site/FileServer1-Rep2DR
Datasvr2,NY Site/FileServer2-Rep2DR
Deployment,NY Site/General-NoRep2DR
Dictation,NY Site/General-NoRep2DR
DMINDEX,NY Site/DocMgmt-Rep2DR
DM-OTAG,NY Site/DocMgmt-NoRep2DR
DM-OTDS,NY Site/DocMgmt-NoRep2DR
DMSERVER,NY Site/DocMgmt-Rep2DR
DMSQL,NY Site/DocMgmt-Rep2DR
DM-WEB,NY Site/DocMgmt-NoRep2DR
